Can I Use an Easement That Abuts to My Property	 real
Can a HOA Remove Trees from an Easement	 real
Right-Of-Way for a Well-Established Drive	 real
Ex-Fiance Gave Me Two Days to Get All My Thing Out of a Mobile Home We Both Own	 real
Parking on a Right of Way That Obstructs its Use	 real
Damage to Grass Along Right of Way	 real
Warranty Deed Signed by Grantor As Unremarried Widower, when in Fact He is Married	 real
Misuse of a Right of Way for Purposes Other Than Access	 real
How to Settle a Rural Property Line Dispute	 real
Can I Remove a Fence on My Property Even Though My Neighbor Has a Pool	 real
Encroachment of a Fence and Addition	 real
Developer Wants to Take Away Part of Our Easement	 real
When Can an Easement Holder Give Usage Rights to Another Party	 real
Ordinance Restricts Use of Garage to the Parking of Vehicles	 real
Can You Sue Your Neighbor's Surveyor Over an Error in a Survey	 real
Requirement of an Easement for Underground Electrical Wiring on Private Property	 real
Can You Compel a Local Goverment to Permit Installation of Underground Utilities	 real
Neighbor's Fence Was Built Three Feet Over the Property Line	 real
Neighbor is Threatening to Seek a Prescriptive Easement Despite Permissive Use	 real
What to Do if Your Neighbor's Fence Encroaches on Your Property	 real
What to Do if Your Neighbor Plants Bushes on Your Land	 real
Underground Power Line Was Placed on a Neighbor's Property Without an Easement	 real
Neighbor Won't Stop Replacing My Fence	 real
Does a Neighboring Property Have to Grant a Utility Easement	 real
What is an Abutting Property for Purposes of Zoning and Land Use	 real
Can You Be Compelled to Sell Land to a Neighboring Property for a Right of Way	 real
Can You Sell Your Share of an Inherited Property	 real
When Does a Long-Standing Fence Establish a Property Line	 real
Drainage Ditch on Property Without Recorded Easement Rights	 real
How to Keep a Property Owned by Multiple Siblings in the Family	 real
Transfering Deed from a Trust and Not Causing Property Tax Reset	 real
Closing Completed but No Signature on Loan Agreement	 real
How to Get an Encroaching Neighbor to Purchase Landlocked Property	 real
How to Get a Local Government to Properly Enforce an Ordinance	 real
What to Do if a HOA Refuses to Enforce Pet Rules	 real
Deed Was Never Updated when Lots Were Combined	 real
Who is Responsible for Retaining Wall Adjacent to a Public Road	 real
Accessing Land After the Sale of Adjacent Property	 real
Who Can Use a Right of Way	 real
Where to Find Local Zoning Ordinances	 real
When Can a Life Tenant Keep a Remainderman from Using a Home	 real
Can You Remove a Boundary Line Tree in Order to Rebuild a Wall	 real
Prescriptive Easement for Water Line	 real
Ownership and Use of an Easement	 real
Establishing Whose Property a Hedge is on	 real
Easement Transferred to Buyer but They Won't Meet the Contractual Obligations	 real
Removing a Fence Installed on My Land With Permission of a Prior Owner	 real
Types of Warranty Deeds	 real
Improving an Easment to Prevent Flooding	 real
Are Boat Slips Common Elements of an HOA	 real
Adverse Possession when the Owner is Deceased	 real
Applying to Build a Shed on Wetlands	 real
Neighbor Claims My Fence is On His Property	 real
Can the Dominant Estate Compel Removal of a Gate from a Right of Way	 real
Dog Feces from Apartment Above Mine	 real
Developer's Responsibilty for an Access Easement	 real
Extinguishment of an Easement by Merger	 real
Neighbor's Tree Trunk is Damaging the Boundary Fence	 real
Who Owns a Tree Cut and Dropped Across Property Lines	 real
Neighbor Demands Repair of a Retaining Wall, Not on My Property	 real
Filed for Bankruptcy, but Can't Remove Lien from Real Estate	 real
Do Occupants Have to Be Given Notice to Vacate After Foreclosure	 real
Trespasser Refuses to Remove Horses	 real
Business Use of a Right of Way Resulting in Increased Traffic	 real
Third Party Use of a Utility Pole Placed Outside of the Easement	 real
Chemicals Used on Neighboring Property are Making Us Sick	 real
Is a Life Tenant Entitled to a Share of Proceeds From the Sale of the Home	 real
Who is Responsible for the Cost of Ceiling Repairs Necessitated by a Leaking Toilet	 real
How Do We Remove a Neighbor's Fence from Our Property	 real
HOA Demands Payment for a Background Check on Toddler	 real
Bought a House at Foreclosure Auction Then Found Out There is a Tax Lien	 real
Can an Easement Appurtenant Be a Non-Exclusive Easement	 real
How Many Gates Can the Servient Estate Install on  a Right of Way	 real
Quorum and Voting Requirements to Amend Bylaws	 real
Lawsuit Over Cutting Down a Neighbor's Trees	 real
Expanding the Width of a Right of Way With No Written Easement	 real
How to Get an Easement for Water Service	 real
Placing a Barricade on a Shared, Circular Driveway	 real
Is a HOA Obligated Make a Claim Under its Primary Hazard Insurance	 real
Neighbor's Liability After Cutting Down My Tree	 real
What is a Landowner's Responsibility for Hazardous Waste from a Prior Owner	 real
Cypress Trees Obscuring Line of Sight for Intersection	 real
What Recourse Do You Have Following the Government's Demolition of Your Home	 real
Selling Your Neighbor a Strip of Land to Resolve an Encroachment	 real
Can You Enforce an Agreement by a City to Maintain Your Property	 real
How to Add Your Spouse to the Deed of a Co-Owned Home	 real
Restricting Speed on a Right of Way	 real
Neighbors are Threatening an Adverse Possession Action Based on a Surveyor's Error	 real
Neighbor Claims Ownership of a Boundary Fence, and Plans to Remove It	 real
My Neighbor's Utility Lines Were Placed on My Property Without an Easement	 real
Can a "Landlocked" Easement Be Turned into a Road or Through Way	 real
How to Find Titles and Deeds	 real
New neighbor trying to fence off large area of my widowed mother's property	 real
House Sitting On Two Lots	 real
Joint Right of Way to Access a River in Pennsylvania	 real
Apartment to Condo	 real
Quitclaim Deeds in Connecticut	 real
Adverse Possession and Fence Placement	 real
Driveway Versus Side Yard	 real
Removing A Deceased Person From The Title	 real
Right Of Way Maintenance	 real
Easement Woes	 real
Right Of Way To Property Landlocked By Foreclosure In Pennsylvania	 real
Infringement Of Property Lines and Easement Rights	 real
Life Use	 real
Owner's Easement Rights	 real
No Pet Policy, By-Law	 real
Transfer of Easement	 real
Easement Use	 real
Negating a Prescriptive Easement	 real
Taking Mother Off Title Deed & Property Tax	 real
Rights of 50% 'Undivided' Ownership of a Duplex	 real
Stormwater Runoff Problem - No Easement Listed	 real
What Happens to Old Roads	 real
New Easement Rights	 real
Easement for Water	 real
Can HOA Charge Me for an Interior Repair That I Was Not Aware Of	 real
How Do I Change Name on Title	 real
Co-Owner Wants Too Much Money for a Buy-Out	 real
AT&T Installed Unpermitted Structure on Easement Violating City Zoning Ordinance	 real
Who Really Owns the Right of Way Property	 real
Undefined Term of Easement	 real
Adverse Possession in Washington	 real
Installing a Fence	 real
Right of Way in North Carolina	 real
Cross Hairs and Arrow in Road	 real
Neigbor Converts Garage into Bedroom - New Window Staring into Backyard	 real
Drainage Across Property by Developer Without Recorded Easement	 real
Can a Neighbor Prevent Me from Working on My House Due to Property Lines	 real
Ingress and Egress Easements in Michigan	 real
Life Tenant Gave Gift Money then Moved Out and Wants Gift Money Returned	 real
Covered RV Awning Not Code Compliant	 real
Is it Illegal to Remove Surveyor's Rods	 real
Zoning Violations vs Property Line Issue	 real
Fence Across a Useless Right of Way	 real
Easements to Landlocked Property	 real
Egress Window	 real
Adding an Electrical Line to a Right of Way Easement	 real
When is a Corporate-Owned Property Owner-Occupied	 real
Survey Says Fence Needs to Move	 real
Buyers Demand Lot-Line Adjustment or Will Not Close on Adjacent Bank-Owned Property	 real
Graveling an Access Easment in Texas	 real
Adverse Possession  of a Bank Owned Home in California	 real
Can You Lock a Gate to an Easement	 real
Life Estate vs. Owner's Rights	 real
Fencing Easement Area Until It's Terminated	 real
Orange Grove and School Students in California	 real
Possible Unauthorized Septic Drainfield on Our Property	 real
What to Do with a Property Next Door, Up for Sale, That Should Be Condemned	 real
I Have a Lien on a Property That Was Just Quit Claimed	 real
Underground Easement on Property Without Permission	 real
What Determines the Boundary Monument Between Two Real Properties	 real
Neighbor's Spigot on My Property	 real
Fence Built by Neighbor on Their Own Side of Property Line	 real
Bad Neighbors	 real
Regaining Access to a Home	 real
Shed Encroachment	 real
Can an Easement Be Transferred to Another Entity Without My Permission	 real
How to Get Mobile Home Title	 real
What Constitutes Transfer	 real
Balcony Repair Dispute With HOA - Who is Responsible	 real
Repeated Disturbance by a Car Alarm on Neighboring Property	 real
Boat Title and Registration	 real
Do I Forfeit My Property if I Don't Object to an Encroachment	 real
Neighbor's Security Cameras Overlook Our Property	 real
Owners of Dominant Estate Won't Maintain their Right of Way	 real
Problem with Neighbors Fence Blocking Driveway	 real
City Contractor Cuts Limbs Off Neighbor's Tree	 real
Relocation of Fence to Property Line Against a Neighbor's Wishes	 real
What Constitutes a Boundary Line Dispute	 real
Can Landowner Use Access Restricted Easement for Himself	 real
Buying a Home but Having Title Held by a Relative	 real
Placing a Lien on an Employer Without Judgement	 real
How to Fix a Clerical Error in My Deed Description	 real
Running Cable Perpendicular to an Easement	 real
New HOA Restriction Prohibits Roomates, Passed After House Purchase Based on Roommate	 real
How to Dispute Charges From a HOA	 real
Does a Chicken House Constitute a Private Nuisance	 real
Hunting in a Residential Neighborhood	 real
Can a HOA President Extend His Own Term Without a Board Vote	 real
Who is Responsible for Damage from Water Runoff	 real
Defenses to a HOA Property Lien	 real
Can You Change the Location of a Private Road	 real
Encroachment of a Cell Tower Utility Easement	 real
Florida Condominium Conversion	 real
How to Fill out a Quit Claim Deed	 real
Can you quit claim interest in a hard money loan?	 real
Texas Limitations to File Suit on Forgery of Warranty Deed & POA	 real
Quit-Claim Woes	 real
Los Angeles County Adverse Possession	 real
Losing home of 19 years	 real
Out of the blue easement	 real
Retaining Wall Issue in New Jersey	 real
Florida HOA Restricting Homeowners at Board Meetings	 real
Florida life estate laws	 real
Homeowner Association Records	 real
Right of Way for Electricity	 real
Easement Litigation and Injunction Bond	 real
Subdivision Road Ownership in North Carolina	 real
Planting On An Easement in California	 real
Buying House With Boyfriend	 real
Validity Of A Quit-Claim Deed With No Consideration	 real
Quit Claim Deed Validity	 real
Town Requiring Pond To Be Maintained For Public Drainage, in New York	 real
Verbal Agreement Not Being Honored	 real
Divided Land	 real
Two Different Surveys From The Same Surveyor	 real
Does an Easement Follow the Land or the Owners	 real
Stopping the Sale of a House After a Quit Claim Deed	 real
Boundary Fence In Texas	 real
County Wants To Use Our Private Gated Road	 real
Cutting Down Trees In Easement Without Landowner's Consent	 real
Can Association Force Me To Give Them A Key?	 real
Florida: Neighbor Wants To Tie Into Fence On My Property	 real
Removing An Easement	 real
Easement Versus Right-of-way	 real
Prescriptive Easement Or Easement By Necessity	 real
Removing Survey Stakes To Put Up Fence	 real
Can a Judge Expand Your Easement	 real
Property Line Crosses Corner Of House And Driveway	 real
Does A Quitclaim Supersede A Previous Warranty Deed	 real
Regulations, Licensing and the Right to Conduct Legal Business	 real
Speeding Fines Issued by Condo Association	 real
How to Get Wife's Name Off Deed-Abandonment and She Lives Overseas	 real
HOA Fees Go Up Because Others Not Paying	 real
Fair Market Value for ROW Easement	 real
Establishing an Intended Right of Way from Past Owners	 real
Homeowners Association Right Of Way	 real
Moving an Ingress/Egress	 real
Access Easement for Unwanted Walk-Through Gate	 real
Easement vs. Lane	 real
New Condo Owner Billed for Work Performed Before Purchase	 real
ADA and Furniture in Hallways	 real
Building Encroachment from 5 Years Ago	 real
New Property, New Road, New Fence - What About the Easement	 real
Clearing or Widening an Easement for Ingress and Egress	 real
Who's Responsible for a Water Leak into a Lower Unit	 real
Prescriptive Easement in New Jersey	 real
Neighbor Doesn't Agree with Survey of My Property	 real
Neighbors Parking on My Utility Easement	 real
Found a Abandoned Boat	 real
Non-Exclusive Perpetual Easement	 real
Condo Parking Being Changed from Reserved to Open	 real
New Driveway - Survey Markers Removed	 real
Neighbors Putting Speed Bumps in Shared Right-of-Way	 real
Neighbor's Sewer Line May Run Through Our Land	 real
Quitclaim on Part of My New Property	 real
Adverse Possession of an Heir's Property	 real
Adverse Possession in New York	 real
Can a Fiber Optic Line be Installed on Waterline Right of Way and Easement	 real
How to Make the Owner of a Right of Way Buy Your Property	 real
Claiming Land by Adverse Possession in North Carolina	 real
Statute of Limitations for Delivering a Quitclaim Deed	 real
Right of Way Encroachment by Neighbor	 real
Are Riparation Setbacks Without Compensation, Unconstitutional	 real
Saftey and Privacy Pedestrian Traffic on Easement	 real
Delinquency Summary Report	 real
New Fence Will Block Access to My Handicap Ramp	 real
Neighbors Plannned Driveway That Encroaches on Our Property	 real
Property Line Dispute, Statute of Limitations	 real
Town Has No Easement but Has Placed Utilities Anyway	 real
How to Renegotiate a Utility Easement	 real
Utility or Cable Lines Across Front Yard	 real
Prescriptive Right of Ways	 real
Amending a Parcel Description on a Deed	 real
Target Shooting in Residential Neighborhood	 real
New Owner Next Door Says My Surveyor Isn't Correct, His New One Is	 real
How to Claim Adverse Possession On an Abandoned House	 real
Rights in a 50/50 Shared Driveway Maintenance	 real
Construction of a Lift Station in a Sewage Easement	 real
Trespassing on a Private Lake	 real
Is the Fence the Boundary	 real
Use of Road Easement to Access National Forest	 real
Determining Usage Rights for a Conduit	 real
Prescriptive Easement for Irrigation Water Flow	 real
State Law vs Local Ordinance	 real
Removed Fence Partly on My Property, Neighbor Accusing Me of "Stealing His Fence."	 real
Rights to Land Under Former Non-Navigable Riverbed, Now Dried Up	 real
Easement Destroyed by Owner Logging	 real
Fence Along Boundary Renders Parking Easement Useless	 real
Rain Gutters on My Property	 real
Can a Tenant Sue a HOA for Inadequate Repairs Resulting in Mold	 real
Neighbor Built a Spite Fence	 real
Ownership Rights to an Abandoned Road	 real
Unwanted City Tree Planting Requirements	 real
Keeping Cargo (Shipping) Containers on Your Land	 real
Ticketed for Debris on Property	 real
Downstairs Neighbor Wants Compensation for Leak in his Sunroom Roof Below My Deck	 real
Neighbor Claims Adverse Possession Based Upon Improperly Placed Fence	 real
Appropriate Use and Maintenance of a Right-Of-Way, and Possible Abandonment	 real
Parents Purchased a Home in My Name, Want Me to Quitclaim it to Them	 real
Obstructions in Right of Way	 real
Speeding on a Right of Way	 real
Preventing an Easement from Being Widened	 real
How to Remove My Name from a Quit Claim Deed	 real
Can Another Heir Force the Sale of a Jointly Owned, Inherited Home	 real
How to Get a Prescriptive Easement	 real
Use of a Private Right of Way Over Developer Owned Land	 real
Can My Neighbor Prevent Me from Using My Easement Across His Land	 real
Neighbor Has Requested I Move My Dogs Off of My Half of Shared Driveway	 real
Restrictions on Loose Fowl	 real
Undetected Tax Lien Due to Problems in Title History	 real
Driveway Lies Partially Outside of the Easement	 real
Neighbor's Retaining Wall Collapsed	 real
Appearance of the Side of a Fence Facing My Property	 real
